CATEGORIA ,EAN,MARCA ,FRANQUICIA ,TITULO  ,TIPO DE PRODUCTO ,DESCRIPCION CORTA ,DESCRIPCIÓN LARGA,INFO ADICIONAL,PRESENTACION/ COMPOSICION ,BENEFICIO 1,BENEFICIO 2,BENEFICIO 3,MODO DE APLICACIÓN,CROSSELLING,KEY WORD PARA SEARCH,HIPOALERGENICO,TIPO DE PIEL,EJE,CODIGO HEXA,Pack Size,Pack Size UOM
MAKE UP ,41554238747,MNY ,Fit Me,Fit Me Base de Maquillaje formato vidrio,Base de maquillaje,"Base fuida que se funde con tu tono de piel. La base Fit Me, de Maybelline, brinda una cobertura natural y liviana que permite que la piel respire, dando un acabado fresco y natural.",,,,Pigmentos ligeros que dan un acabado natural,FPS 18,,"Aplícala uniformemente en el rostro y difumínala con las yemas de los dedos, desde el centro hacia laterales y cuello. ",41554247718; 41554443493; 41554409093; 3600530730308; 41554459692; 3600530124862,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554238778,MNY ,Fit Me,Fit Me Base de Maquillaje formato vidrio,Base de maquillaje,"Base fuida que se funde con tu tono de piel. La base Fit Me, de Maybelline, brinda una cobertura natural y liviana que permite que la piel respire, dando un acabado fresco y natural.",,,,Pigmentos ligeros que dan un acabado natural,FPS 18,,"Aplícala uniformemente en el rostro y difumínala con las yemas de los dedos, desde el centro hacia laterales y cuello. ",41554247718; 41554443493; 41554409093; 3600530730308; 41554459692; 3600530124862,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554238839,MNY ,Fit Me,Fit Me Set + Smooth Polvo Compacto,Polvo Compacto,"Fit Me Set + Smooth, de Maybelline, es el polvo compacto que se adapta a tu tono de piel. Cobertura natural y liviana, que permite que la piel respire, dando un acabado fresco y natural.",,,,Textura suave y liviana,Sin aceites,,Utilizá el cisne aplicador y expandí delicadamente desde el centro hacia los laterales,41554247718; 41554238679; 3600530730308; 41554459906; 41554453737; 3600531303068,"Powder, polvos, Bronzer; bronceador, maybelline, maybelin",0,Todo tipo de piel,Rostro,0,9,g
MAKE UP ,41554339918,MNY ,Fit Me,Fit Me Set + Smooth Polvo Compacto,Polvo Compacto,"Fit Me Set + Smooth, de Maybelline, es el polvo compacto que se adapta a tu tono de piel. Cobertura natural y liviana, que permite que la piel respire, dando un acabado fresco y natural.",,,,Textura suave y liviana,Sin aceites,,Utilizá el cisne aplicador y expandí delicadamente desde el centro hacia los laterales,41554247718; 41554238679; 3600530730308; 41554459906; 41554453737; 3600531303068,"Powder, polvos, Bronzer; bronceador, maybelline, maybelin",0,Todo tipo de piel,Rostro,0,9,g
MAKE UP ,30140028,MNY ,SuperStay 24hs,SuperStay 24hs Primer,Pre base de maquillaje,"SuperStay 24hs Primer, de Maybelline, es la PRE Base de maquillaje de larga duración: acabado perfecto, control de brillo y sensación fresca, hasta por 24 hs.",,,,Pre base con control de brillo,0,,Aplicalo en el rostro antes de la base.,3017566810025; 41554209570; 7790033235816; 41554443493; 3600531280246; 41554434866,"Pre maquillaje, Primer",0,Todo tipo de piel,Rostro,0,20,ml
MAKE UP ,3600531280246,MNY ,SuperStay 24hs,SuperStay 24hs Spray Fijador,Spray fijador de maquillaje,"Super Stay 24hs Spray Fijador, de Maybelline, es el fijador de maquillaje de larga duración. Su textura mircro niebla permite que el maquillaje dure hasta 24 hs.",,,,Larga duración,0,,"Agitar y aplicar en el rosto, una vez terminado el make up",3017566810025; 41554209570; 7790033235816; 41554443493; 30140028; 41554434866,"Post maquillaje, fijador, setting spray",0,Todo tipo de piel,Rostro,0,75,ml
MAKE UP ,41554481907,MNY ,Master Contour V-Shape Duo,Master Contour V-Shape Duo,Contorno/Iluminación,"Con Master Contour V-Shape Duo, de Maybelline, contorneá e iluminá tu rosto en dos simples pasos. Contorneá para definir e iluminá para resaltar.",,,,Esculpe el rostro,0,,"Aplica el tono más oscuro en la línea de la mandíbula y debajo de los pómulos. Difumina bien. Aplica el tono más claro en los puntos más altos del rostro, como en los pómulos y el puente de la nariz. Difumina bien.",41554486155; 41554455595; 41554493719; 41554220186; 3600531365837; 3600531318949,"Blush, rubor, iluminador, highlighter, contour, countouring; contorno del rostro",0,Todo tipo de piel,Rostro,0,7,g
MAKE UP ,41554481914,MNY ,Master Contour V-Shape Duo,Master Contour V-Shape Duo,Contorno/Iluminación,"Con Master Contour V-Shape Duo, de Maybelline, contorneá e iluminá tu rosto en dos simples pasos. Contorneá para definir e iluminá para resaltar.",,,,Esculpe el rostro,0,,"Aplica el tono más oscuro en la línea de la mandíbula y debajo de los pómulos. Difumina bien. Aplica el tono más claro en los puntos más altos del rostro, como en los pómulos y el puente de la nariz. Difumina bien.",41554486155; 41554455595; 41554493719; 41554220186; 3600531365837; 3600531318949,"Blush, rubor, iluminador, highlighter, contour, countouring; contorno del rostro",0,Todo tipo de piel,Rostro,0,7,g
MAKE UP ,41554486155,MNY ,Master Strobing Stick,Master Strobing Stick,Contorno/Iluminación,"¡Iluminá y resaltá tu rostro con Master Strobing Stick, de Maybelline!",,,,Ilumina el rostro,0,,"Aplicalo en las areas del rostro que desees iluminar, como en los pómulos o el puente de la nariz. Difuminalo bien.",41554481907; 41554455595; 41554493719; 41554220186; 3600531365837; 3600531318949,"Blush, rubor, iluminador, highlighter, contour, countouring; contorno del rostro",0,Todo tipo de piel,Rostro,0,6.8,g
MAKE UP ,41554486162,MNY ,Master Strobing Stick,Master Strobing Stick,Contorno/Iluminación,"¡Iluminá y resaltá tu rostro con Master Strobing Stick, de Maybelline!",,,,Ilumina el rostro,0,,"Aplicalo en las areas del rostro que desees iluminar, como en los pómulos o el puente de la nariz. Difuminalo bien.",41554481907; 41554455595; 41554493719; 41554220186; 3600531365837; 3600531318949,"Blush, rubor, iluminador, highlighter, contour, countouring; contorno del rostro",0,Todo tipo de piel,Rostro,0,6.8,g
MAKE UP ,41554541397,MNY ,Super Stay 24hs,Super Stay 24hs Full Coverage,Base de maquillaje,Lucí un rostro perfecto durante 24hs gracias a la nueva base de acabado matte Super Stay Full Coveragede Maybelline,,,,Alta cobertura,Larga duración ,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554509809; 41554259247,Maybelline; Meibelin; maybeline; Foundation; base; base reparadora; cobertura; Larga duracion,0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554492149,MNY ,Fit Me,Fit Me Suave y Natural,Base de maquillaje,"Piel seca? Llego la solucion! Con la nueva formula de Maybelline, Fit Me Dewy + smooth, hidrata, suaviza y cubre imperfecciones con un acabado fresco y natural. No te la pierdas!",,,,Base fluida hidratante y suavizante,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Normail a seca,Rostro,0,30,ml
MAKE UP ,41554492156,MNY ,Fit Me,Fit Me Suave y Natural,Base de maquillaje,"Piel seca? Llego la solucion! Con la nueva formula de Maybelline, Fit Me Dewy + smooth, hidrata, suaviza y cubre imperfecciones con un acabado fresco y natural. No te la pierdas!",,,,Base fluida hidratante y suavizante,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Normail a seca,Rostro,0,30,ml
MAKE UP ,41554492163,MNY ,Fit Me,Fit Me Suave y Natural,Base de maquillaje,"Piel seca? Llego la solucion! Con la nueva formula de Maybelline, Fit Me Dewy + smooth, hidrata, suaviza y cubre imperfecciones con un acabado fresco y natural. No te la pierdas!",,,,Base fluida hidratante y suavizante,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Normail a seca,Rostro,0,30,ml
MAKE UP ,41554492187,MNY ,Fit Me,Fit Me Suave y Natural,Base de maquillaje,"Piel seca? Llego la solucion! Con la nueva formula de Maybelline, Fit Me Dewy + smooth, hidrata, suaviza y cubre imperfecciones con un acabado fresco y natural. No te la pierdas!",,,,Base fluida hidratante y suavizante,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Normail a seca,Rostro,0,30,ml
MAKE UP ,7501839116373,MNY ,Fit Me,Fit Me Suave y Natural,Polvo Compacto,Fit Me Soft con su cobertura suave y liviana se adapta a tu piel dandole un acabado fresco y natural,,,,Polvo compacto hidratante y suave,0,,Luego de aplicar la base aplicá el polvo compacto. Utilizá la esponjita y expandí delicadamente desde el centro hacia los laterales,41554247718; 41554238679; 3600530730308; 41554459906; 41554453737; 3600531303068,"Maybelline; Meibelin; maybeline;Powder, polvos, Bronzer; bronceador",0,Normail a seca,Rostro,0,12,g
MAKE UP ,7501839116403,MNY ,Fit Me,Fit Me Suave y Natural,Polvo Compacto,Fit Me Soft con su cobertura suave y liviana se adapta a tu piel dandole un acabado fresco y natural,,,,Polvo compacto hidratante y suave,0,,Luego de aplicar la base aplicá el polvo compacto. Utilizá la esponjita y expandí delicadamente desde el centro hacia los laterales,41554247718; 41554238679; 3600530730308; 41554459906; 41554453737; 3600531303068,"Maybelline; Meibelin; maybeline;Powder, polvos, Bronzer; bronceador",0,Normail a seca,Rostro,0,12,g
MAKE UP ,7501839116366,MNY ,Fit Me,Fit Me Suave y Natural,Polvo Compacto,Fit Me Soft con su cobertura suave y liviana se adapta a tu piel dandole un acabado fresco y natural,,,,Polvo compacto hidratante y suave,0,,Luego de aplicar la base aplicá el polvo compacto. Utilizá la esponjita y expandí delicadamente desde el centro hacia los laterales,41554247718; 41554238679; 3600530730308; 41554459906; 41554453737; 3600531303068,"Maybelline; Meibelin; maybeline;Powder, polvos, Bronzer; bronceador",0,Normail a seca,Rostro,0,12,g
MAKE UP ,7501839116359,MNY ,Fit Me,Fit Me Suave y Natural,Polvo Compacto,Fit Me Soft con su cobertura suave y liviana se adapta a tu piel dandole un acabado fresco y natural,,,,Polvo compacto hidratante y suave,0,,Luego de aplicar la base aplicá el polvo compacto. Utilizá la esponjita y expandí delicadamente desde el centro hacia los laterales,41554247718; 41554238679; 3600530730308; 41554459906; 41554453737; 3600531303068,"Maybelline; Meibelin; maybeline;Powder, polvos, Bronzer; bronceador",0,Normail a seca,Rostro,0,12,g
MAKE UP ,41554492071,MNY ,Fit Me,FIT ME Matte y sin poros,Base de maquillaje,"Olvidate de los poros y el brillo de la piel! La nueva base Fit Me matte + poreless cubre imperfecciones, desvanece los poros y controla el brillo para darle a tu cara el efecto matte perfecto.",,,,Base fluída matificante/minimiza poros,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Piel normal a mixta,Rostro,0,30,ml
MAKE UP ,41554492095,MNY ,Fit Me,FIT ME Matte y sin poros,Base de maquillaje,"Olvidate de los poros y el brillo de la piel! La nueva base Fit Me matte + poreless cubre imperfecciones, desvanece los poros y controla el brillo para darle a tu cara el efecto matte perfecto.",,,,Base fluída matificante/minimiza poros,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Piel normal a mixta,Rostro,0,30,ml
MAKE UP ,41554492101,MNY ,Fit Me,FIT ME Matte y sin poros,Base de maquillaje,"Olvidate de los poros y el brillo de la piel! La nueva base Fit Me matte + poreless cubre imperfecciones, desvanece los poros y controla el brillo para darle a tu cara el efecto matte perfecto.",,,,Base fluída matificante/minimiza poros,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Piel normal a mixta,Rostro,0,30,ml
MAKE UP ,41554562491,MNY ,Fit Me,FIT ME Matte y sin poros,Base de maquillaje,"Olvidate de los poros y el brillo de la piel! La nueva base Fit Me matte + poreless cubre imperfecciones, desvanece los poros y controla el brillo para darle a tu cara el efecto matte perfecto.",,,,Base fluída matificante/minimiza poros,0,,"Aplicá la base Fit Me, extendela por todo el rostro con la yema de tus dedos o una esponja y lográ una cobertura uniforme, pareja y natural. Utilizá el polvo compacto de la misma franquicia para lograr un look perfecto.",7702433312196; 7501839116403; 41554503135; 41554220117; 41554541427; 3600530791897,"Maybelline; Meibelin; maybeline;Foundation; base; base reparadora; cobertura; base para piel seca, base hidratante",0,Piel normal a mixta,Rostro,0,30,ml
