TIPO,CATEGORIA,SUBCATEGORIA (Español),FAMILIA (Español),Nombre del Producto en Inglés (CALIDAD),Nombre del Producto en Español,Descripción MKT,Características,Cod SAP local,EAN ,Merch Code,Tono,Status 2023
Revlon Cosmetics,Maquillaje para LABIOS,Delineador para Labios,ColorStay, ColorStay Lipliner,Delineador para Labios,Delineador de labios retráctil que provee larga duración y ayuda a que el color de los labios dure más tiempo. También ayuda a prevenir el agrietado del color. Contiene sacapuntas para un punta más precisa.  ,"Larga duración
Retráctil
Contiene sacapuntas",7262701009,309974172011,630,Nude,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Delineador para Labios,ColorStay, ColorStay Lipliner,Delineador para Labios,Delineador de labios retráctil que provee larga duración y ayuda a que el color de los labios dure más tiempo. También ayuda a prevenir el agrietado del color. Contiene sacapuntas para un punta más precisa.  ,"Larga duración
Retráctil
Contiene sacapuntas",7262701011,309975822106,650,Pink,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Delineador para Labios,ColorStay, ColorStay Lipliner,Delineador para Labios,Delineador de labios retráctil que provee larga duración y ayuda a que el color de los labios dure más tiempo. También ayuda a prevenir el  agrietado del color. Contiene sacapuntas para un punta más precisa.  ,"Larga duración
Retráctil
Contiene sacapuntas",7262701003,309974172134,665,Plum,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Delineador para Labios,ColorStay, ColorStay Lipliner,Delineador para Labios,Delineador de labios retráctil que provee larga duración y ayuda a que el color de los labios dure más tiempo. También ayuda a prevenir el agrietado del color. Contiene sacapuntas para un punta más precisa.  ,"Larga duración
Retráctil
Contiene sacapuntas",7262701002,309974172226,675,Red,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Delineador para Labios,ColorStay, ColorStay Lipliner,Delineador para Labios,Delineador de labios retráctil que provee larga duración y ayuda a que el color de los labios dure más tiempo. También ayuda a prevenir el agrietado del color. Contiene sacapuntas para un punta más precisa.  ,"Larga duración
Retráctil
Contiene sacapuntas",7262701007,309974172073,635,Sienna,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous Lipstick,Lápiz Labial Cremoso (mate),"Lápiz labial de acabado satinado, liviano y humectante. ¡Es la combinación perfecta entre color de alto impacto y una fórmula súper hidratante!
Este lápiz labial va a darle a los labios un color intenso y se sentirá suave. 
Creado en 1939.
Pisá fuerte con el labial más icónico del mundo. Super Lustrous™ está formulado con pigmentos microfinos para lograr colores de alto impacto. De sensación suave y humectante. Super atrevidos, súper cremosos, Super Lustrous™.  ","Acabado cremoso
Humectante
Ahora su fórmula también promete cuidado: gracias a su vitamina E y aceite de palta, garantiza la humectación de los labios.
Tiene pigmentos micro-finos para que los tonos sean de alta intensidad.",7256153054,309970038908,755,Bare it All,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous Lipstick,Lápiz Labial Cremoso (mate),"Lápiz labial de acabado satinado, liviano y humectante. ¡Es la combinación perfecta entre color de alto impacto y una fórmula súper hidratante!
Este lápiz labial va a darle a los labios un color intenso y se sentirá suave. 
Creado en 1939.
Pisá fuerte con el labial más icónico del mundo. Super Lustrous™ está formulado con pigmentos microfinos para lograr colores de alto impacto. De sensación suave y humectante. Super atrevidos, súper cremosos, Super Lustrous™.  ","Acabado cremoso
Humectante
Ahora su fórmula también promete cuidado: gracias a su vitamina E y aceite de palta, garantiza la humectación de los labios.
Tiene pigmentos micro-finos para que los tonos sean de alta intensidad.",7256153069,309970039141,766,Secret Club,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous The Luscious Matte Lipstick,Lápiz Labial Mate,"Lápiz labial de acabado mate aterciopelado, liviano y humectante. Animate a un lápiz labial mate que no genera sequedad en los labios y no se siente pesado. Extremadamente cómodo.
¡Color de alta cobertura en 1 sola pasada! ¡Nuevo packaging premium! Negro mate, suave, con una etiqueta de color más grande en la parte inferior y con nuestro logo sellado en la bala.","Acabado mate
Humectante
Su fórmula hidratante contiene Aceite de Moringa (evita la sequedad en los labios) y Manteca de Cupuaçu (actúa como hidratante y suavizar los labios).",7256151024,309970039745,024,Fire & Ice,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous The Luscious Matte Lipstick,Lápiz Labial Mate,"Lápiz labial de acabado mate aterciopelado, liviano y humectante. Animate a un lápiz labial mate que no genera sequedad en los labios y no se siente pesado. Extremadamente cómodo.
¡Color de alta cobertura en 1 sola pasada! ¡Nuevo packaging premium! Negro mate, suave, con una etiqueta de color más grande en la parte inferior y con nuestro logo sellado en la bala.","Acabado mate
Humectante
Su fórmula hidratante contiene Aceite de Moringa (evita la sequedad en los labios) y Manteca de Cupuaçu (actúa como hidratante y suavizar los labios).",7256151017,309970039691,017,Crushed Rubies,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous The Luscious Matte Lipstick,Lápiz Labial Mate,"Lápiz labial de acabado mate aterciopelado, liviano y humectante. Animate a un lápiz labial mate que no genera sequedad en los labios y no se siente pesado. Extremadamente cómodo.
¡Color de alta cobertura en 1 sola pasada! ¡Nuevo packaging premium! Negro mate, suave, con una etiqueta de color más grande en la parte inferior y con nuestro logo sellado en la bala.","Acabado mate
Humectante
Su fórmula hidratante contiene Aceite de Moringa (evita la sequedad en los labios) y Manteca de Cupuaçu (actúa como hidratante y suavizar los labios).",7256151014,309970039523,014,Shameless,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous The Luscious Matte Lipstick,Lápiz Labial Mate,"Lápiz labial de acabado mate aterciopelado, liviano y humectante. Animate a un lápiz labial mate que no genera sequedad en los labios y no se siente pesado. Extremadamente cómodo.
¡Color de alta cobertura en 1 sola pasada! ¡Nuevo packaging premium! Negro mate, suave, con una etiqueta de color más grande en la parte inferior y con nuestro logo sellado en la bala.","Acabado mate
Humectante
Su fórmula hidratante contiene Aceite de Moringa (evita la sequedad en los labios) y Manteca de Cupuaçu (actúa como hidratante y suavizar los labios).",7256153011,309970039486,011,Untold Stories,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous The Luscious Matte Lipstick,Lápiz Labial Mate,"Lápiz labial de acabado mate aterciopelado, liviano y humectante. Animate a un lápiz labial mate que no genera sequedad en los labios y no se siente pesado. Extremadamente cómodo.
¡Color de alta cobertura en 1 sola pasada! ¡Nuevo packaging premium! Negro mate, suave, con una etiqueta de color más grande en la parte inferior y con nuestro logo sellado en la bala.","Acabado mate
Humectante
Su fórmula hidratante contiene Aceite de Moringa (evita la sequedad en los labios) y Manteca de Cupuaçu (actúa como hidratante y suavizar los labios).",7259048001,309970093693,001,If I Want To,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales,Super Lustrous, Super Lustrous The Luscious Matte Lipstick,Lápiz Labial Mate,"Lápiz labial de acabado mate aterciopelado, liviano y humectante. Animate a un lápiz labial mate que no genera sequedad en los labios y no se siente pesado. Extremadamente cómodo.
¡Color de alta cobertura en 1 sola pasada! ¡Nuevo packaging premium! Negro mate, suave, con una etiqueta de color más grande en la parte inferior y con nuestro logo sellado en la bala.","Acabado mate
Humectante
Su fórmula hidratante contiene Aceite de Moringa (evita la sequedad en los labios) y Manteca de Cupuaçu (actúa como hidratante y suavizar los labios).",7259048005,309970093433,005,Heartbreaker,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales Líquidos,Ultra HD, Ultra HD Matte  Lipcolor,Lápiz Labial Mate,"Labial Mate Ultra HD con color de alta definición. De sensación hidratante, suave y aterciopelada. 100% libre de ceras, con fórmula en gel. Acabado mate.","Acabado mate
Sensación suave, humectante y aterciopelada
Color de alta definición",7225259004,309978161042,635,Passion,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales Líquidos,Ultra HD, Ultra HD Matte  Lipcolor,Lápiz Labial Mate,"Labial Mate Ultra HD con color de alta definición. De sensación hidratante, suave y aterciopelada. 100% libre de ceras, con fórmula en gel. Acabado mate.","Acabado mate
Sensación suave, humectante y aterciopelada
Color de alta definición",7225259006,309978161066,600,Devotion,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales Líquidos,Ultra HD, Ultra HD Matte  Lipcolor,Lápiz Labial Mate,"Labial Mate Ultra HD con color de alta definición. De sensación hidratante, suave y aterciopelada. 100% libre de ceras, con fórmula en gel. Acabado mate.","Acabado mate
Sensación suave, humectante y aterciopelada
Color de alta definición",7225259010,309978161103,625,Love,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales Líquidos,Ultra HD, Ultra HD Matte  Lipcolor,Lápiz Labial Mate,"Labial Mate Ultra HD con color de alta definición. De sensación hidratante, suave y aterciopelada. 100% libre de ceras, con fórmula en gel. Acabado mate.","Acabado mate
Sensación suave, humectante y aterciopelada
Color de alta definición",7225259012,309978161127,610,Addiction,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales Líquidos,Ultra HD, Ultra HD Matte  Lipcolor,Lápiz Labial Mate,"Labial Mate Ultra HD con color de alta definición. De sensación hidratante, suave y aterciopelada. 100% libre de ceras, con fórmula en gel. Acabado mate.","Acabado mate
Sensación suave, humectante y aterciopelada
Color de alta definición",7225259018,309978161189,660,Kisses,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Labiales Líquidos,Ultra HD, Ultra HD Matte  Lipcolor,Lápiz Labial Mate,"Labial Mate Ultra HD con color de alta definición. De sensación hidratante, suave y aterciopelada. 100% libre de ceras, con fórmula en gel. Acabado mate.","Acabado mate
Sensación suave, humectante y aterciopelada
Color de alta definición",7225259022,309978161226,640,Forever,Regular
Revlon Cosmetics,Maquillaje para OJOS,Delineador de Cejas,ColorStay, ColorStay Brow Pencil,Delineador para Cejas,Delineador de cejas ColorStay con punta angular que rellena de forma precisa las cejas. Tiene cepillo para peinar y emprolijar las cejas. Dura hasta por 24 horas.,"Punta Angular
Cepillo para peinar
24 horas de duración",7225300002,309977948026,220,Soft Dark Brown,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para OJOS,Delineador de Cejas,ColorStay, ColorStay Brow Pencil,Delineador para Cejas,Delineador de cejas ColorStay con punta angular que rellena de forma precisa las cejas. Tiene cepillo para peinar y emprolijar las cejas. Dura hasta por 24 horas.,"Punta Angular
Cepillo para peinar
24 horas de duración",7225300004,309977948040,021,Dark Brown,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para OJOS,Delineador de Ojos,ColorStay,ColorStay Liquid Eye Pens,Delineador Líquido para Ojos,"Delineador líquido para ojos con punta de marcador de larga duración. 
La punta delgada y cónica que ofrece flexibilidad para trabajar con la curva de las pestañas. 
Resistente al agua y a prueba de transferencia & manchas
Franquicia: ColorStay
Duración hasta por 24 horas","Delineador líquido
Punta de marcador
De facil aplicación                                                          
Duración hasta por 24 horas",7255574000,309970149062,003,Black,Regular
Revlon Cosmetics,Maquillaje para OJOS,Delineador de Ojos,ColorStay, ColorStay Liquid Liner                       ,Delineador Líquido para ojos,"Delineador líquido para ojos con punta fina de larga duración. 
La punta fina permite sentir el control ya sea cuando se busca dibujar líneas delgadas como cuando se buscan más gruesas. 
Oftalmológicamente comprobado.
Franquicia: ColorStay
Duración hasta por 16 horas","Delineador Liquido
De fácil aplicación
Duración hasta por 16 horas",7245653001,309974209014,251,Blackest Black,Regular
Revlon Cosmetics,Maquillaje para OJOS,Delineador de Ojos,So Fierce!, So Fierce! Vinyl Eye Liner,Delineador para Ojos,"Delineador para ojos con punta de lápiz de larga duración. La fórmula en gel, cremosa, cómoda y duradera proporciona un acabado brillante intensamente pigmentado a prueba de agua y a prueba de manchas.
¡Obtené el aspecto de un delineador líquido lacarado con la facilidad de un lápiz! 
Se desliza suavemente con facilidad y precisión.
Oftalmológicamente comprobado.
Franquicia: So Fierce!
Duración hasta por 16 horas","Delineador con punta de lápiz
Fórmula cremosa en gel
Proporciona un acabado intensamente pigmentado. 
Fácil deslizamiento
A prueba de agua
Duración hasta por 16 horas",7255950001,309970047948,860,Midnigth Mystery,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,Revlon,Revlon Volumazing Mascara NWP,Máscara para Pestañas. Volumen + Color intenso y brillante,"Mascara de pestañas con fórmula cremosa que otorga más volumen sin grumos. Disponible versión a prueba de agua.
Detalles fórmula: Fórmula cremosa que otorga más volumen sin grumos. No se corre ni mancha. Dura hasta por 24hs
Detalle cepillo: El exclusivo cepillo está diseñado con cerdas onduladas para agarrar con fuerza hasta las pestañas más pequeñas mientras deposita el color.","Pestañas con más volumen
Color intenso y brillante
No se corre ni mancha
Cepillo cónico
Dura hasta por 24 horas
Disponible versión a prueba de agua",7245331001,309976182018,901,Blackest Black,Regular
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,Revlon,Revlon Volumazing Mascara WP,Máscara para Pestañas - Volumen + Color intenso y brillante,"Mascara de pestañas con fórmula cremosa que otorga más volumen sin grumos. Disponible versión a prueba de agua.
Detalles fórmula: Fórmula cremosa que otorga más volumen sin grumos. No se corre ni mancha. Dura hasta por 24hs
Detalle cepillo: El exclusivo cepillo está diseñado con cerdas onduladas para agarrar con fuerza hasta las pestañas más pequeñas mientras deposita el color.","Pestañas con más volumen
Color intenso y brillante
No se corre ni mancha
Cepillo cónico
Dura hasta por 24 horas
Disponible versión a prueba de agua",7253532001,309976297019,951,Blackest Black WP,Regular
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,Revlon,Revlon Volume + Length Magnified Mascara,Máscara para Pestañas. Volumen y Alargamiento,"Mascara para pestañas con fórmula de fibras con acabado brillante que amplifica el volumen y el largo de la pestaña. Disponible versión a prueba de agua.
Detalles fórmula: Fórmula de fibras con acabado brillante que amplifica el volumen y el largo de la pestaña
Detalle cepillo: El cepillo contiene una punta cuadrada diseñada para anclar la máscara a cada pestaña","Pestañas más largas y con más volumen 
Acabado brillante
Cepillo de punta cuadrada
Disponible versión a prueba de agua",7225292001,309978914013,301,Blackest Black,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,Revlon,Revlon Volume + Length Magnified Mascara,Máscara para Pestañas. Volumen y Alargamiento,"Mascara para pestañas con fórmula de fibras con acabado brillante que amplifica el volumen y el largo de la pestaña. Disponible versión a prueba de agua.
Detalles fórmula: Fórmula de fibras con acabado brillante que amplifica el volumen y el largo de la pestaña
Detalle cepillo: El cepillo contiene una punta cuadrada diseñada para anclar la máscara a cada pestaña","Pestañas más largas y con más volumen 
Acabado brillante
Cepillo de punta cuadrada
Disponible versión a prueba de agua",7225292003,309978914037,303,Blackened Brown,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,Revlon,Revlon Volume + Length Magnified Mascara   ,Máscara para Pestañas. Volumen y Alargamiento a prueba de agua,"Mascara para pestañas con fórmula de fibras con acabado brillante que amplifica el volumen y el largo de la pestaña. Disponible versión a prueba de agua.
Detalles fórmula: Fórmula de fibras con acabado brillante que amplifica el volumen y el largo de la pestaña
Detalle cepillo: El cepillo contiene una punta cuadrada diseñada para anclar la máscara a cada pestaña","Pestañas más largas y con más volumen 
Acabado brillante
Cepillo de punta cuadrada
Disponible versión a prueba de agua",7225288001,309978957010,351,Blackest Black WP,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,So Fierce!, So Fierce! Mascara,Máscara para Pestañas. Largo + Volumen - Efecto de extensión de Pestañas!,"Duradera, pestañas largas y con más volumen. Una máscara que logra todo! Levanta tus pestañas por fuera, dentro y por ecima.
Detalles fórmula: Fórmula infundida con polímeros para potenciar las pestañas: las levanta, define  y separa. No mancha ni se corre. Dura hasta por 24hs. Oftalmológicamente testeado.   
Detalle cepillo: Su cepillo cónico contiene 252 cerdas de varias capas que peinan y agarran todas y cada una de las pestañas (¡incluso las más pequeñas!)","Pestañas más largas y con apariencia de más volumen
No mancha
No se corre
Larga duración
Oftalmológicamente testeado
Define y separa las pestañas
Cepillo cónico contiene 252 cerdas",7255953001,309977563014,701,Blackest Black,Regular
Revlon Cosmetics,Maquillaje para OJOS,Máscara para Pestañas,So Fierce!, So Fierce! Mascara,Máscara para Pestañas. Largo + Volumen - Efecto de extensión de Pestañas!,"Duradera, pestañas largas y con más volumen. Una máscara que logra todo! Levanta tus pestañas por fuera, dentro y por ecima.
Detalles fórmula: Fórmula infundida con polímeros para potenciar las pestañas: las levanta, define  y separa. No mancha ni se corre. Dura hasta por 24hs. Oftalmológicamente testeado.   
Detalle cepillo: Su cepillo cónico contiene 252 cerdas de varias capas que peinan y agarran todas y cada una de las pestañas (¡incluso las más pequeñas!)","Pestañas más largas y con apariencia de más volumen
No mancha
No se corre
Larga duración
Oftalmológicamente testeado
Define y separa las pestañas
Cepillo cónico contiene 252 cerdas",7255953003,309977563038,703,Blackend Brown,Regular
Revlon Cosmetics,Maquillaje para OJOS,Sombras para Ojos,ColorStay, ColorStay Looks Book Palette,Paleta de Sombras,Paletas de sombras altamente pigmentadas con el tamaño ideal para acompañarte a todos lados. Dura hasta por 24hs.  Cada paleta incluye 8 tonos. Color intenso en una sola pasada.,"  Tonos altamente pigmentados.
Color intenso en una sola pasada.
Paleta que incluye 8 tonos.
 Dura hasta por 24hs",7253539004,309970039042,900,Original,Regular
Revlon Cosmetics,Maquillaje para OJOS,Sombras para Ojos,ColorStay, ColorStay Looks Book Palette,Paleta de Sombras,Paletas de sombras altamente pigmentadas con el tamaño ideal para acompañarte a todos lados. Dura hasta por 24hs.  Cada paleta incluye 8 tonos. Color intenso en una sola pasada.,"  Tonos altamente pigmentados.
Color intenso en una sola pasada.
Paleta que incluye 8 tonos.
 Dura hasta por 24hs",7253539005,309970039059,940,Insider,Regular
Revlon Cosmetics,Maquillaje para OJOS,Sombras para Ojos,ColorStay, ColorStay Looks Book Palette,Paleta de Sombras,Paletas de sombras altamente pigmentadas con el tamaño ideal para acompañarte a todos lados. Dura hasta por 24hs.  Cada paleta incluye 8 tonos. Color intenso en una sola pasada.,"  Tonos altamente pigmentados.
Color intenso en una sola pasada.
Paleta que incluye 8 tonos.
 Dura hasta por 24hs",7253539001,309970039011,930,Maverick,Regular
Revlon Cosmetics,Maquillaje para OJOS,Sombras para Ojos,ColorStay, ColorStay Looks Book Palette,Paleta de Sombras,Paletas de sombras altamente pigmentadas con el tamaño ideal para acompañarte a todos lados. Dura hasta por 24hs.  Cada paleta incluye 8 tonos. Color intenso en una sola pasada.,"  Tonos altamente pigmentados.
Color intenso en una sola pasada.
Paleta que incluye 8 tonos.
 Dura hasta por 24hs",7253539002,309970039028,920,Enigmna,Regular
Revlon Cosmetics,Maquillaje para OJOS,Sombras para Ojos,ColorStay, ColorStay Créme Eye Shadow,Sombra en Crema para Ojos,"Sombra para parpados en crema, con alto pigmento de color y de larga duración. Con pincel incorporado para facilitar su aplicación. Es a prueba de agua y dura hasta por 24 horas.","Sombra en crema
Larga duración
A prueba de agua
Con cepillo aplicador incluido",7246582006,309970101435,720,Chocolate,Regular
Revlon Cosmetics,Maquillaje para OJOS,Sombras para Ojos,ColorStay, ColorStay Créme Eye Shadow,Sombra en Crema para Ojos,"Sombra para parpados en crema, con alto pigmento de color y de larga duración. Con pincel incorporado para facilitar su aplicación. Es a prueba de agua y dura hasta por 24 horas.","Sombra en crema
Larga duración
A prueba de agua
Con cepillo aplicador incluido",7246582010,309970095802,755,Licorice,Regular
