Fase,Marca,Nombre del producto,Titulo optimizado,EAN,Descripción,Beneficio (bullets),Modo de uso,Composición,Ingredientes,Tipo de cabello,Presentacion,Palabras Clave
Fase 2,KLORANE,Shampoo Ortiga,Shampoo Cabello Graso Klorane Ortiga 200ml,7799075001564,"Shampoo purificante del cuero cabelludo.
","- 85% de ingredientes de origen  natural.
-Cabello limpio por más tiempo. 
-Apto Vegano: sin ingredientes de origen animal.
- Controla la secreción sebasea. 
- Base lavante suave sin sulfatos. 
-Fórmula biodegradable.
-Apto uso a partir de los 3 años.",Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente.,"Extracto de ortiga blanca (Seborregula, Inhibe la 5 alfa reductasa), Base lavante suave (Evita cualquier efecto de rebote de la seborrea)","WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. DECYL GLUCOSIDE*. LAURYL BETAINE. CETEARETH-60 MYRISTYL GLYCOL. LAURETH-3. GLYCERYL LAURATE*. URTICA DIOICA (NETTLE) ROOT EXTRACT (URTICA DIOICA ROOT EXTRACT)*. CAPRYLYL GLYCOL. CITRIC ACID*. FRAGRANCE (PARFUM). GREEN 3 (CI 42053). MALEIC ACID. POLYQUATERNIUM-22. POLYSORBATE 20. PROPYLENE GLYCOL. SODIUM BENZOATE. SODIUM CHLORIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 6 (CI 15985)

85% de ingredientes naturales",Graso,200 ml,*Tratamiento Cabello graso *Cabello *Cuidado capilar *Cuidado del pelo *Purificante *Shampoo *Ortiga *Seborreductor *Pelo *Hidratación *Vegano *Sin Sulfatos *Limpio *Energizante *Alta tolerancia
Fase 2,KLORANE,Shampoo Almedra,Shampoo Uso Diario Klorane Leche de Almendras 400ml,7798095412404,"Shampoo de uso diario que aporta volumen al cabello, da cuerpo, proporciona suavidad y luminosidad. 
","-Con su base emulsionante muy suave y desenredante, devuelve cuerpo al cabello
-Aporta suavidad y brillo
-Neutraliza la electricidad estática, frecuente en el caso del cabello fino.","Aplicar el shampoo sobre el cabello húmedo, dar un masaje suave y enjuagar. Un solo lavado es suficiente",,WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. DECYL GLUCOSIDE*. LAURYL BETAINE. CETEARETH-60 MYRISTYL GLYCOL. LACTIC ACID*. LAURETH-3. GLYCERYL LAURATE*. PENTYLENE GLYCOL*. CITRUS MEDICA VULGARIS FRUIT EXTRACT*. FRAGRANCE (PARFUM). GLUTAMIC ACID*. GLYCERIN*. HEXYL CINNAMAL. LIMONENE. MALEIC ACID. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 5 (CI 19140),Todo tipo,200 ml,*Shampoo *Cabello *Pelo *Delicado *Suavidad *Luminosidad *Desenreda *Suavidad *Brillo *Estática
Fase 2,KLORANE,Shampoo Peonia,Shampoo Calmante Klorane Peonia para cuero cabelludo sensible 200ml,7798095410943,"Shampoo calmante que protege, alivia y reconforta el cuero cabelludo irritado.","- 85% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Sensación de alivio por 24 hs.
 -Antiirritante.
 -Fórmula con PH fisiológico.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado",Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente.,"Compuesto por: Peonía BIO (Calmante, Anti-irritante).",WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. DECYL GLUCOSIDE*. CETEARETH-60 MYRISTYL GLYCOL. LAURYL BETAINE. LAURETH-3. PROPYLENE GLYCOL*. PAEONIA LACTIFLORA ROOT EXTRACT*. CAPRYLYL GLYCOL. CITRIC ACID*. FRAGRANCE (PARFUM). MALEIC ACID. POLYQUATERNIUM-22. RED 33 (CI 17200). SODIUM BENZOATE. SODIUM CHLORIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Cuero cabelludo sensible ,200 ml,*Shampoo *Cabello *Pelo *Sensible *Irritado *Protector *Calmante *Frescura *Irritación
Fase 2,KLORANE,Shampoo Granada,Shampoo Fijador y Protector del Color Klorane Granada 400ml ,7798095415375,Shampoo fijador que protege y prolonga la intensidad del color.,"- 85% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Limpia sin degradar el color.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.","Compuesto por: Extracto de granada (Prolonga el color, preserva su intensidad y resplandor)",WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. CETEARETH-60 MYRISTYL GLYCOL. DECYL GLUCOSIDE*. LAURYL BETAINE. LAURETH-3. PUNICA GRANATUM EXTRACT*. ALCOHOL*. CAPRYLYL GLYCOL. CITRIC ACID*. FRAGRANCE (PARFUM). MALEIC ACID. POLYQUATERNIUM-22. RED 33 (CI 17200). RED 40 (CI 16035). SODIUM BENZOATE. SODIUM CHLORIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 6 (CI 15985),Teñido,400 ml,*Shampoo *Cabello *Pelo *Fijador *Protector *Color *Tinte *Pigmento *Brillo *Protege *Repara *UV
Fase 2,KLORANE,Acondicionador de Avena ,Acondicionador Suavizante Klorane Avena 200 ml,7798095411650,Acondicionador natural de alta tolerancia pediátrica que protege y suaviza el cabello de toda la familia.,"- 96% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Limpia sin degradar el color.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Envase fabricado con un 50% de plástico reciclado.","Aplicar en el cabello escurrido, dejar actuar unos minutos. Peinar y enjuagar.",Compuesto por: Avena (suaviza y protege).,"WATER (AQUA)*. CETYL ALCOHOL*. ETHYLHEXYL PALMITATE*. BEHENAMIDOPROPYL DIMETHYLAMINE*. DICAPRYLYL CARBONATE*. CETEARYL ALCOHOL*. 1,2-HEXANEDIOL. AVENA SATIVA (OAT) LEAF/STEM EXTRACT (AVENA SATIVA LEAF/STEM EXTRACT)*. BENZOIC ACID. CETEARYL GLUCOSIDE*. FRAGRANCE (PARFUM). LACTIC ACID*. SCLEROTIUM GUM. TOCOPHEROL*",Toda la familia,200 ml,*Balsamo *Tratamiento *Cabello *Pelo *Capilar *Delicado *Suavidad *Flexibilidad *Protege
Fase 2,KLORANE,Acondicionador de Camomila,Acondicionador Reflejos Rubios Klorane Camomila 200 ml,7798095418741,"Acondicionador natural con camomila que desenreda e hidrata el cabello rubio, aportando brillo y reflejos dorados","- 96% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Limpia sin degradar el color.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Envase fabricado con un 50% de plástico reciclado.","Aplicar en el cabello escurrido, dejar actuar unos minutos. Peinar y enjuagar.","Compuesto por: Extracto de Camomilla (acción aclaradora natural para el cabello rubio, para obtener reflejos de tono dorado y miel)","WATER (AQUA)*. CETYL ALCOHOL*. ETHYLHEXYL PALMITATE*. VINEGAR (ACETUM)*. BEHENAMIDOPROPYL DIMETHYLAMINE*. GLYCERIN*. DICAPRYLYL CARBONATE*. 1,2-HEXANEDIOL. CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT (CHAMOMILLA RECUTITA FLOWER EXTRACT)*. BENZOIC ACID. CETEARYL ALCOHOL*. CETEARYL GLUCOSIDE*. FRAGRANCE (PARFUM). GLYCINE SOJA (SOYBEAN) OIL (GLYCINE SOJA OIL)*. LACTIC ACID*. SCLEROTIUM GUM. TOCOPHEROL*",Rubio,200 ml,*Balsamo *Tratamiento *Cabello *Pelo *Capilar *Rubio *Natural *Volumen *Brillo *Suave
Fase 2,KLORANE,Shampoo Centaurea ,Shampo Matizante Klorane Centaurea para Reflejos Canosos 200ml,7798095410981,Shampoo que previene el color amarillento y reaviva el brillo.,"- 86% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 - Neutraliza reflejos amarillentos.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado",Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente.,Compuesto por: Centaurea Bio (neutraliza el amarilleo) y agentes limpiadores suaves sin sulfatos.,"WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. CENTAUREA CYANUS FLOWER WATER*. BUTYLENE GLYCOL*. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. EXT. VIOLET 2 (CI 60730). FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TOCOPHEROL*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE

86% de ingredientes de origen natural",Grises,200 ml,*Shampoo *Cabello *Pelo *Canas *Blanco *Brillo *Plateado *Reaviva
Fase 2,KLORANE,Crema de día Nutritiva Klorane Mango 125 ml,Crema de día Nutritiva Klorane Mango 125ml,7799075001885,Crema de día nutritiva para cabellos secos y deteriorados.,"- 97% de ingredientes de origen natural. 
 -Apto Vegano: sin ingredientes de origen animal.
 - Nutre a diario.
 - Proporcion brillo y suavidad.
 -Facilita el peinado.
 -Apto uso a partir de los 3 años.
 - Frasco 50% reciclado",Aplicar sobre los largos y puntas sobre el cabello húmedo o mojado. No enjuagar.,"Compuesto por: Manteca de mango (Nutre, hidrata y retiene el agua a nivel de la fibra capilar)","WATER (AQUA)*. CETEARYL ALCOHOL*. ETHYLHEXYL PALMITATE*. DICAPRYLYL CARBONATE*. BEHENAMIDOPROPYL DIMETHYLAMINE*. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. 1,2-HEXANEDIOL. BENZOIC ACID. CETEARYL GLUCOSIDE*. FRAGRANCE (PARFUM). LACTIC ACID*. POLYQUATERNIUM-37. TOCOPHEROL. YELLOW 5 (CI 19140). YELLOW 6 (CI 15985)

97% de ingredientes de origen natural",Seco,125 ml,*Tratamiento Nutritivo *Cabello *Cuidado capilar *Cuidado del pelo *Nutrición *Mango *Suavidad *Pelo *Hidratación *Desenredo *Pelo dañado *Reparador *Regenerador *Vegano *Sin Sulfatos *Alta tolerancia *crema para peinar
Fase 2,KLORANE,Acondicionador Nutritivo Klorane Mango 200 ml,Acondicionador Nutritivo Klorane Mango 200ml,7799075001908,Acondicionador nutritivo para cabellos secos y deteriorados.,"96% de ingredientes de origen natural. 
 -Apto Vegano: sin ingredientes de origen animal.
 - Nutre al instante
 - Proporcion brillo y suavidad.
 -Facilita el peinado.
 -Apto uso a partir de los 3 años.
 - Frasco 50% reciclado","Aplicar en el cabello escurrido, dejar actuar unos minutos. Peinar y enjuagar.","Compuesto por: Manteca de mango (Nutre, hidrata y retiene el agua a nivel de la fibra capilar)","WATER (AQUA)*. CETYL ALCOHOL*. ETHYLHEXYL PALMITATE*. BEHENAMIDOPROPYL DIMETHYLAMINE*. DICAPRYLYL CARBONATE*. CETEARYL ALCOHOL*. 1,2-HEXANEDIOL. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. BENZOIC ACID. CETEARYL GLUCOSIDE*. FRAGRANCE (PARFUM). LACTIC ACID*. SCLEROTIUM GUM. TOCOPHEROL*. YELLOW 5 (CI 19140). YELLOW 6 (CI 15985)

96% de ingredientes de origen natural",Seco,200 ml,*Tratamiento Nutritivo *Cabello *Cuidado capilar *Cuidado del pelo *Nutrición *Mango *Suavidad *Pelo *Hidratación *Desenredo *Pelo dañado *Reparador *Regenerador *Vegano *Sin Sulfatos *Alta tolerancia
Fase 2,KLORANE,Shampo Matizante Klorane Centaurea para Reflejos Canosos 400ml,Shampo Matizante Klorane Centaurea para Reflejos Canosos 400ml,7799075000444,Shampoo que previene el color amarillento y reaviva el brillo.,"86% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 - Neutraliza reflejos amarillentos.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado",Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente.,Compuesto por: Centaurea Bio (neutraliza el amarilleo) y agentes limpiadores suaves sin sulfatos.,"WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. CENTAUREA CYANUS FLOWER WATER*. BUTYLENE GLYCOL*. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. EXT. VIOLET 2 (CI 60730). FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TOCOPHEROL*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE

86% de ingredientes de origen natural",Grises,400 ml,*Shampoo *Cabello *Pelo *Canas *Blanco *Brillo *Plateado *Reaviva
Fase 3,KLORANE,Acondicionador Granada,Acondicionador Fijador y Protector de Color Klorane Granada 200ml,7798095418765,Acondicionador fijador que protege el color de los cabellos teñidos.,"- 97% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Desenreda.
 -Fija el color.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Envase 50% reciclado y 100% reciclable","Aplicar en el cabello escurrido, dejar actuar unos minutos. Peinar y enjuagar.","Compuesto por: Extracto de granada (prolonga el color, preserva su intensidad y resplandor)","WATER (AQUA)*. STEARYL ALCOHOL*. BEHENAMIDOPROPYL DIMETHYLAMINE*. C9-12 ALKANE*. CETYL ALCOHOL*. HYDROXYPROPYL STARCH PHOSPHATE. ETHYLHEXYL PALMITATE*. 1,2-HEXANEDIOL. PUNICA GRANATUM EXTRACT*. ALCOHOL*. CITRIC ACID*. COCO-CAPRYLATE/CAPRATE*. FRAGRANCE (PARFUM). LACTIC ACID*. OCTYLDODECANOL*. SODIUM BENZOATE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE",Teñido,200 ml,*Bálsamo *Cabello *Pelo *Fijador *Protector *Color *Tinte *Pigmento *Brillo *Protege *Repara *UV *Acondicionador *Post shampoo *Desenreda *Suavidad *Flexibilidad *Resistencia
Fase 3,KLORANE,Shampoo Olivo ,Shampoo Revitalizante Klorane Olivo 200ml,7798095419816,Shampoo anti-edad que regenera el cabello debilitado por el tiempo.,"- 82% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 - Devuelve el grosor y densidad.
 -Fórmula biodegradable.
 -Apto uso a partir de los 3 años.
 - Tarro 100% reciclable y reciclado",Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente.,"Extracto de olivo BIO (Aporta Grosor y densidad al cabello), Glicerina / Betaina (Hidratan y protegen el cabello), Base lavante suave, limpia sin agredir",WATER (AQUA)*. SODIUM LAURETH SULFATE. GLYCERIN*. SODIUM COCOAMPHOACETATE. CETEARETH-60 MYRISTYL GLYCOL. PEG-40 HYDROGENATED CASTOR OIL. SODIUM LAURETH-8 SULFATE. OLEA EUROPAEA (OLIVE) FRUIT EXTRACT (OLEA EUROPAEA FRUIT EXTRACT)*. BETAINE*. CITRIC ACID*. COCO-GLUCOSIDE*. FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GREEN 3 (CI 42053). HESPERIDIN METHYL CHALCONE. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE. LIMONENE. MAGNESIUM LAURETH SULFATE. MAGNESIUM LAURETH-8 SULFATE. MAGNESIUM OLETH SULFATE. PHENOXYETHANOL. PROPANEDIOL. RED 33 (CI 17200). SALICYLIC ACID. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM OLETH SULFATE. TOCOPHEROL*. TOCOPHERYL NICOTINATE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 6 (CI 15985),Frágil,200 ml,*Shampoo *Cabello *Pelo *Capilar *Sin enjuague *Revitaliza *Grosor *Densidad *Suavidad *Flexibilidad *Regenera *Anti edad *Hidratación *Nutrición *Desenreda
Fase 3,KLORANE,Shampoo Mango,Shampoo Nutritivo Klorane Mango 100ml,7799075001892,Shampoo nutritivo para cabellos secos y deteriorados.,"- 86% de ingredientes de origen natural.
 -Apto Vegano sin ingredientes de origen animal.
 - Lavado suave y nutritivo sin sulfatos.
 - Proporcion brillo y suavidad.
 -Facilita el peinado.
 -Fórmula biodegradable.
 -Apto uso a partir de los 3 años.
 - Frasco 100% reciclable y reciclado","Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente, se recomienda combinarlo con el Acondicionador de Mango.","Compuesto por: Manteca de mango (Nutre, hidrata y retiene el agua a nivel de la fibra capilar)","WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. GLYCERIN*. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. TOCOPHEROL. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 5 (CI 19140). YELLOW 6 (CI 15985)

86% de ingredientes de origen natural",Seco,100 ml,"*Tratamiento Shampoo Nutritivo *Cabello *Cuidado capilar *Cuidado del pelo *Nutrición *Shampoo, Mango *Suavidad *Pelo *Hidratación *Desenredo *Pelo dañado *Reparador *Regenerador *Vegano *Sin Sulfatos *Alta tolerancia"
Fase 3,KLORANE,Acondicionador Voluminizador Klorane Lino 200 ml,Acondicionador Voluminizador Klorane Lino 200ml,7798095418833,Acondicionador voluminizador que desenreda y preserva el volumen.,"- 95% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Desenreda preservando el volumen 
 -Aporta ligereza a la fibra capilar 
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado.","Aplicar en el cabello escurrido, dejar actuar unos minutos. Peinar y enjuagar.",Compuesto por: Extracto de fibras de lino (aportan cuerpo y volumen al cabello).,WATER (AQUA)*. HYDROXYPROPYL STARCH PHOSPHATE. BEHENAMIDOPROPYL DIMETHYLAMINE*. VINEGAR (ACETUM)*. PENTYLENE GLYCOL*. LINUM USITATISSIMUM (LINSEED) SEED EXTRACT (LINUM USITATISSIMUM SEED EXTRACT)*. FRAGRANCE (PARFUM). LACTIC ACID*. LIMONENE. PROPYLENE GLYCOL*. SCLEROTIUM GUM*. SODIUM BENZOATE,Fino,200 ml,*Bálsamo *Cabello *Pelo *Cabello fino *Pelo fino *Volumen *Textura *Ultra light *Post shampoo *Acondicionador
Fase 3,KLORANE,Shampoo Fijador y Protector de Color Klorane Granada 200 ml,Shampoo Fijador y Protector de Color Klorane Granada 200ml,7798095411186,Shampoo fijador que protege y prolonga la intensidad del color.,"85% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Limpia sin degradar el color.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.","Compuesto por: Extracto de granada (Prolonga el color, preserva su intensidad y resplandor)",WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. CETEARETH-60 MYRISTYL GLYCOL. DECYL GLUCOSIDE*. LAURYL BETAINE. LAURETH-3. PUNICA GRANATUM EXTRACT*. ALCOHOL*. CAPRYLYL GLYCOL. CITRIC ACID*. FRAGRANCE (PARFUM). MALEIC ACID. POLYQUATERNIUM-22. RED 33 (CI 17200). RED 40 (CI 16035). SODIUM BENZOATE. SODIUM CHLORIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 6 (CI 15985),Teñido,200 ml,*Shampoo *Cabello *Pelo *Fijador *Protector *Color *Tinte *Pigmento *Brillo *Protege *Repara *UV
Fase 3,KLORANE,Aceite Klorane Mango Nutritivo 100ml ,Aceite Nutritivo Klorane Mango 100ml,7799075001670,"Aceite nutritivo para cabellos secos y deteriorados.
","- 97 % de ingredientes de origen natural.
-Apto Vegano sin ingredientes de origen animal.
- Nutre intensa y profundamente.
- Proporcion brillo y suavidad.
-Facilita el peinado.
-Fórmula sin alcohol con aceite vegetales naturales.
-Apto uso a partir de los 3 años.
- Frasco 100% reciclable y reciclado","Aplicar sobre el cabello seco o húmedo. Vaporizar directamente sobre el cabello o en las palmas de la mano. Luego extender de medios a puntas, utilizar a diario o antes de la exposición solar . Sin enjuague. Se rercomienda combinarlo con el Acondicionador de Mango.","Compuesto por: Manteca de mango (Nutre, hidrata y retiene el agua a nivel de la fibra capilar)  y aceites vegetales naturales.","WATER (AQUA)*. COCO-CAPRYLATE/CAPRATE*. ETHYLHEXYL PALMITATE*. PONGAMIA GLABRA SEED OIL*. C9-12 ALKANE*. PENTYLENE GLYCOL*. SODIUM CHLORIDE*. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. FRAGRANCE (PARFUM). HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS ANNUUS SEED OIL)*. LACTIC ACID*. SODIUM BENZOATE. TOCOPHEROL

97% de ingredientes de origen natural",Seco,100 ml,*Tratamiento Aceite *Nutritivo *Cabello *Cuidado capilar *Cuidado del pelo *Nutrición *Aceite *Mango *Suavidad *Pelo *Nutrición *Desenredo *Pelo dañado *Reparador *Regenerador *Vegano *Sin Sulfatos *Sin alcohol *Alta tolerancia
Fase 3,KLORANE,Shampoo Lino 200 ml,Shampoo Voluminizador Klorane Fibras de Lino 200ml,7798095417652,Shampoo voluminizador para cabellos finos.,"-Lava con suavidad
-Aporta volumen y ligereza
-Contiene polisacáridos que aportan propiedades
filmógenas que proporcionan cuerpo y volumen 
desde la raíz del cabello","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.","Extracto de fibras de lino (Proporciona cuerpo y volumen al cabello) Base lavante suave, limpia sin agredir.",WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. DECYL GLUCOSIDE*. CETEARETH-60 MYRISTYL GLYCOL. LAURYL BETAINE. LAURETH-3. LINUM USITATISSIMUM (LINSEED) SEED EXTRACT (LINUM USITATISSIMUM SEED EXTRACT)*. BLUE 1 (CI 42090). CAPRYLYL GLYCOL. CITRIC ACID*. EXT. VIOLET 2 (CI 60730). FRAGRANCE (PARFUM). LIMONENE. MALEIC ACID. PROPYLENE GLYCOL*. SODIUM BENZOATE. SODIUM CHLORIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Fino,200 ml,*Shampoo *Cabello *Pelo *Cabello fino *Pelo fino *Volumen *Textura
Fase 3,KLORANE,Shampoo Capuchina ,Shampoo Anticaspa Klorane Capuchina 200ml,7798095410912,Shampoo tratante para la caspa que purifica el cuero cabelludo.,"-Sana el cuero cabelludo
-Elimina la caspa
-Previene su formación","Aplicar sobre el cuero cabelludo, masajear, dejar actuar 3 minutos y enjuagar. Utilizarlo 3 veces por semana como tratamiento intensivo y 1 vez por semana como mantenimiento","Extracto de Capuchina (Saneante), Ácido salicílico (Queratolítico), Vitamina B5 (Hidratante)","WATER (AQUA) *, SODIUM LAURETH SULFATE, AMMONIUM LAURYL SULFATE *, COCAMIDOPROPYL BETAINE, SALICYLIC ACID, UNDECYLENAMIDOPROPYL BETAINE, TROPAEOLUM MAJUS EXTRACT *, BENZOIC ACID,CETEARETH-60 MYRISTYL GLYCOL, FRAGRANCE (PARFUM), METHYLISOTHIAZOLINONE, POLYQUATERNIUM-10, RED 4 (CI 14700), SODIUM CHLORIDE, SODIUM SULFATE, TRIETHANOLAMINE, YELLOW 6 (CI 15985)",Caspa,200 ml,*Shampoo *Cabello *Pelo *Caspa *Anticaspa *Reduce *Purifica *Capuchina *Cuero cabelludo *Tratamiento *Intensivo
Fase 3,KLORANE,Mascarilla Cupuacu,Mascarilla Nutritiva 3 en 1 Klorane Cupuacu para Cabellos Secos y Dañados 150ml,7799075001298,Mascarilla nutritiva 3 en 1 para cabellos secos y dañados. Su función 3 en 1 le permite adaptar el nivel de reparación y nutrición según las necesidades en el momento. Nutre profundamente fortaleciendo las fibras dañadas del cabello y mejorando su resistencia. Brinda un cabello más brillante y suave.,"- 96% de ingredientes de origen natural.
-Apto Vegano: sin ingredientes de origen animal.
- Nutre y repara.
-Fórmula biodegradable.
-Apto uso a partir de los 3 años.
- Tarro 100% reciclable y reciclado","Puede utilizarse de 3 formas diferentes, según las 
necesidades nutritivas del cabello: como mascarilla 
clásica, como mascarilla de noche o como crema de día","Manteca de Cupuaçu (Répara la fibra), Complejo de emolientes (aceite de coco) (Nutre en profundidad la fibra capilar, hidrata el cuero cabelludo), Glicerina vegetal (Hidrata el cuero cabelludo), Agentes desenredantes (Suavizan y facilitan el peinado)","WATER (AQUA)*. GLYCOL PALMITATE*. BEHENYL ALCOHOL*. CAPRYLIC/CAPRIC TRIGLYCERIDE*. COCOS NUCIFERA (COCONUT) OIL (COCOS NUCIFERA OIL)*. THEOBROMA GRANDIFLORUM SEED BUTTER*. BEHENAMIDOPROPYL DIMETHYLAMINE*. DICAPRYLYL CARBONATE*. CETEARYL ALCOHOL*. GLYCERIN*. BETAINE*. 1,2-HEXANEDIOL. HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS ANNUUS SEED OIL)*. TOCOPHEROL. ALPHA-ISOMETHYL IONONE. BENZOIC ACID. CARAMEL*. CETEARYL GLUCOSIDE*. CITRAL. CITRIC ACID*. CITRONELLOL. COUMARIN. FRAGRANCE (PARFUM). GERANIOL. LACTIC ACID*. LIMONENE

96% de ingredientes de origen natural",Muy secos,150 ml,*Crema *Mascarilla *Cabello *Pelo *Muy seco *Seco *Dañado *Flexibilidad *Suavidad *Nutre *Repara *Hidrata *Protege *Resistente *Post shampoo *Refuerza *Fibra capilar *Desenreda
